step,Qk_bin_0,Qk_bin_1,Qk_bin_2,Qk_bin_3,Qk_bin_4,Qk_bin_5,Qk_bin_6,Qk_bin_7,Qk_bin_8,Qk_bin_9,Qk_bin_10,Qk_bin_11,Qk_bin_12,Qk_bin_13,Qk_bin_14,Qk_bin_15,Qk_bin_16,Qk_bin_17,Qk_bin_18,Qk_bin_19,Qk_bin_20,Qk_bin_21,Qk_bin_22,Qk_bin_23,Qk_bin_24,Qk_bin_25,Qk_bin_26,Qk_bin_27,Qk_bin_28,Qk_bin_29
10,1.0,1.322552e-15,2.4254399e-15,1.4598946e-18,5.9012467e-18,-4.0149626e-18,3.6938286e-17,-6.4396023e-18,1.3165678e-16,9.173537e-19,1.9126954e-19,1.21013595e-17,-3.947372e-17,-1.4716061e-17,1.4990298e-18,-1.1594033e-17,1.6770268e-17,-2.5009744e-16,-3.7023033e-18,8.39196e-19,2.3745272e-18,-6.421554e-19,-1.3809377e-18,1.0947271e-19,-8.6344287e-19,0.0,0.0,0.0,0.0,0.0
11,1.0,1.5740179e-15,2.8753296e-15,-9.313031e-19,-1.9683865e-19,-3.733802e-18,3.845951e-17,-3.1549529e-18,2.0233662e-16,-4.9154596e-18,-1.6515237e-17,3.649233e-18,-2.1386803e-17,-3.8065156e-18,1.012784e-17,-1.1826791e-17,-4.166205e-18,-1.22040664e-17,-4.176308e-18,6.269154e-19,2.8433978e-18,2.9109232e-18,1.5856946e-18,-7.362663e-19,-1.353102e-18,0.0,0.0,0.0,0.0,0.0
12,1.0,1.7476038e-15,3.3180938e-15,-7.077293e-19,2.2009352e-17,-6.304235e-18,3.3327143e-17,6.1448998e-18,1.6043696e-16,-4.538974e-18,-1.260031e-18,1.1278474e-18,-1.7278112e-17,2.8915624e-17,-5.762652e-20,-8.928313e-18,-1.45767e-18,-5.0789525e-16,1.0994141e-18,1.4954801e-18,-2.9176494e-18,1.5003101e-18,-4.459653e-18,9.080835e-19,-3.562481e-18,0.0,0.0,0.0,0.0,0.0
13,1.0,2.0407e-15,3.978123e-15,3.2051443e-18,2.1946018e-17,1.6008082e-18,3.6752902e-17,3.122615e-18,1.6062132e-16,2.8038379e-18,-1.8309327e-17,4.838039e-18,-4.0501466e-17,3.6289138e-17,1.8806689e-17,-1.0390511e-17,1.780721e-17,-3.6947506e-16,3.904558e-18,-3.8162e-18,2.4751393e-18,-1.3346185e-18,-3.1388942e-18,1.161368e-18,-5.544511e-19,0.0,0.0,0.0,0.0,0.0
14,1.0,2.1743001e-15,4.34249e-15,2.9182336e-18,1.0060069e-17,2.5204628e-18,3.1463095e-17,2.7895762e-18,1.4205537e-16,-1.7785816e-18,-1.02465675e-17,1.3667295e-18,-4.9777483e-17,3.857141e-17,9.170535e-19,-4.2865223e-18,1.3333555e-17,-3.4431177e-16,-2.9875417e-18,-8.752714e-18,-5.8691663e-20,-2.6709916e-18,1.2123339e-18,3.1240775e-18,-7.7256937e-19,0.0,0.0,0.0,0.0,0.0
15,1.0,2.3543224e-15,4.8302355e-15,1.1015656e-18,3.2731177e-18,-4.319206e-18,3.2501984e-17,1.0853022e-17,1.7213582e-16,1.3796738e-18,-1.2417773e-17,1.0001452e-17,-3.5836763e-17,1.7192279e-17,9.169372e-18,-1.136764e-18,-1.6291903e-18,-4.52291e-16,1.5242183e-18,1.8388974e-18,4.0703728e-19,6.5395357e-18,-1.6169848e-18,-2.2487947e-18,5.5572273e-19,0.0,0.0,0.0,0.0,0.0
16,1.0,2.592131e-15,5.4593277e-15,7.43481e-19,3.8213895e-17,3.4500316e-18,3.6986213e-17,1.767916e-18,1.05869986e-16,9.004082e-19,-1.4759691e-17,1.5603773e-17,-5.639216e-17,5.0714467e-17,-7.596517e-18,-2.079091e-17,1.1102479e-17,-7.09243e-16,-2.7703158e-18,-6.8299646e-18,3.0356438e-19,-3.5257035e-18,-1.2459895e-18,-1.4695954e-18,-2.738769e-18,0.0,0.0,0.0,0.0,0.0
17,1.0,2.8458863e-15,6.2224874e-15,2.7576266e-18,1.604364e-17,6.1405955e-18,5.579069e-17,6.4311316e-18,1.5084197e-16,-2.8894713e-18,-2.3633156e-17,-4.569919e-18,-7.719648e-17,6.224987e-17,-2.5005492e-18,-7.459234e-18,2.1082629e-17,-1.5169148e-16,-1.6603124e-18,3.4127086e-18,2.300858e-19,1.9055718e-18,-1.0090932e-18,2.8818263e-18,-3.4791046e-19,0.0,0.0,0.0,0.0,0.0
18,1.0,3.0930882e-15,6.8454768e-15,-8.5313586e-20,2.059371e-17,1.2677592e-18,7.2638124e-17,-1.2162353e-17,1.8283836e-16,4.773302e-18,-2.1939301e-17,-4.5944788e-18,-1.9310588e-17,8.3701956e-17,5.648783e-19,-1.3017315e-17,1.5232021e-17,-3.6911507e-16,-5.0096887e-18,-5.087109e-18,1.6012892e-18,-1.9911476e-18,-4.0594947e-18,-2.87801e-18,2.1057764e-18,0.0,0.0,0.0,0.0,0.0
19,1.0,3.4570216e-15,7.6341055e-15,2.7762584e-18,1.684418e-17,-4.098607e-18,7.713753e-17,-3.3744548e-18,3.1259018e-16,-7.051758e-21,-2.5557735e-17,1.3777807e-17,-7.14178e-17,9.949097e-17,1.1824684e-17,-1.06823345e-17,1.0451905e-17,-7.4396455e-16,-6.017739e-18,1.670876e-18,2.3509302e-18,1.0090927e-17,-5.832726e-19,2.1763655e-18,4.857189e-18,0.0,0.0,0.0,0.0,0.0
20,1.0,3.833454e-15,8.396045e-15,5.5516057e-18,4.4741918e-17,-4.490117e-18,7.099084e-17,-9.505443e-18,1.599494e-16,-7.833228e-18,-4.5629857e-17,-1.7627215e-18,-7.5189586e-17,3.7823204e-17,-9.5290015e-18,1.2130943e-17,1.1704045e-17,-3.1464987e-16,-1.0389494e-18,-8.791142e-19,-8.666271e-19,5.879195e-18,1.22911e-18,3.835436e-18,1.5227549e-18,0.0,0.0,0.0,0.0,0.0
21,1.0,4.220783e-15,9.0112074e-15,2.8480738e-18,9.952779e-18,2.8169694e-18,1.0879e-16,-1.9247283e-18,2.7554903e-16,5.2268885e-18,-1.4389798e-17,6.7535753e-18,-6.38494e-17,7.1103314e-17,-6.160271e-20,-3.8037537e-18,1.7250863e-17,-4.9951317e-16,-2.315985e-19,1.2864617e-19,-3.3440685e-18,5.907095e-18,-1.5537385e-18,4.496076e-19,-1.6521976e-19,0.0,0.0,0.0,0.0,0.0
22,1.0,4.672247e-15,9.628494e-15,-3.624196e-18,1.02487405e-17,-3.7566226e-18,4.764236e-17,3.2065578e-18,1.778931e-16,6.4698823e-20,-5.705295e-17,1.1920754e-17,-9.1484654e-17,4.4610056e-17,-3.7235432e-19,-3.9347857e-18,8.243398e-18,-8.5285873e-16,-1.4386089e-18,-7.56169e-19,6.0897254e-19,-1.3332973e-19,3.3688768e-19,-1.5444796e-18,-4.573811e-18,0.0,0.0,0.0,0.0,0.0
23,1.0,5.0461403e-15,1.0371683e-14,1.2201674e-18,6.1430953e-18,-9.978067e-19,4.772485e-17,7.006512e-18,3.3172807e-16,-8.089133e-18,-3.8975788e-17,-2.7839442e-18,-1.3142224e-16,6.032516e-17,1.6657752e-17,1.8858053e-18,9.8842334e-18,-3.4915836e-16,8.155199e-18,-5.155966e-18,-1.033995e-18,-3.2114793e-18,-5.185037e-18,-6.5412136e-18,1.4993453e-19,0.0,0.0,0.0,0.0,0.0
24,1.0,5.548169e-15,1.1148301e-14,2.7525533e-18,5.311041e-17,-2.741421e-18,1.0194294e-16,-5.271622e-18,2.7485287e-16,-5.2825458e-18,-1.8136668e-17,-6.7917707e-18,-6.5211737e-17,9.272322e-17,-6.0406457e-18,4.9835146e-18,1.9884386e-18,-8.777418e-16,2.7186898e-18,-9.264313e-19,1.972452e-18,-9.8985234e-20,-2.3084092e-18,-6.9182566e-18,-9.357063e-19,0.0,0.0,0.0,0.0,0.0
25,1.0,6.048879e-15,1.2170064e-14,2.2618257e-18,1.5614791e-17,-1.8185328e-18,7.372174e-17,1.4652782e-17,2.2935085e-16,1.3291202e-18,-4.3417705e-17,-4.57424e-18,-2.6736605e-17,7.04835e-17,-7.905276e-18,-2.1148707e-17,1.23442926e-17,-8.611328e-16,-8.903553e-19,-1.9179045e-18,-5.9607247e-18,1.2591266e-19,-3.0328581e-18,1.2969177e-18,1.4558442e-20,0.0,0.0,0.0,0.0,0.0
26,1.0,6.4701895e-15,1.2830805e-14,4.4292478e-18,1.1605501e-18,-3.022758e-18,6.3382754e-17,6.0965953e-18,4.4318866e-16,-4.9530905e-18,4.621556e-18,1.0616201e-17,-6.604682e-17,5.22047e-17,-2.0786581e-18,-2.6043674e-17,1.472987e-17,-1.0724236e-15,4.8957963e-18,6.2395516e-18,-5.283086e-18,-9.24506e-18,-9.238128e-19,2.7092516e-18,-7.987929e-19,0.0,0.0,0.0,0.0,0.0
27,1.0,7.0338594e-15,1.37789255e-14,-2.9300818e-18,5.4739372e-17,-7.745373e-18,5.3433786e-17,-1.4939691e-17,2.2150327e-16,5.441458e-18,-3.2777152e-18,2.752486e-18,-4.1166397e-17,-2.5373461e-17,-3.4749204e-18,-1.2598732e-17,1.410864e-17,-9.83967e-16,-1.6171831e-18,-6.6721224e-18,4.676656e-18,-7.896579e-19,-2.7561691e-18,-2.746247e-18,-6.239603e-19,0.0,0.0,0.0,0.0,0.0
28,1.0,7.433144e-15,1.4593056e-14,3.8288642e-19,7.5947204e-17,-1.1443029e-18,8.603217e-17,6.2461107e-18,2.6045427e-16,-7.71144e-18,1.3378642e-17,1.0154452e-18,-8.841702e-17,1.2015176e-16,1.8060483e-17,9.453664e-18,2.0928422e-17,-8.501124e-16,5.2908974e-18,-3.1241084e-18,2.2733787e-18,-5.6652675e-19,-2.1685874e-19,1.3383629e-18,-2.0308512e-18,0.0,0.0,0.0,0.0,0.0
29,1.0,7.9436715e-15,1.543315e-14,1.7713537e-18,3.283327e-17,-3.9459994e-18,9.5431106e-17,1.2110611e-17,1.1393088e-16,5.7322165e-18,2.826072e-17,6.9391e-18,-7.6287675e-18,9.4207084e-17,1.19614055e-17,-9.893196e-18,2.729432e-18,-8.1166546e-16,-6.172795e-19,2.2736184e-18,1.7025239e-18,-2.6008637e-18,4.6024304e-18,1.9169462e-18,7.1549215e-19,0.0,0.0,0.0,0.0,0.0
30,1.0,8.4278745e-15,1.6780627e-14,1.4262576e-18,6.011068e-17,1.1687873e-18,8.970963e-17,6.9109422e-18,8.8128603e-17,-1.5612783e-17,-1.7372987e-17,1.2975164e-17,-5.16515e-17,6.9593895e-17,2.4087626e-19,-3.647816e-17,2.7661684e-17,-1.620092e-16,-9.3574575e-18,-3.814914e-18,-1.2350142e-18,2.85845e-18,9.743646e-19,4.8219133e-18,3.2305274e-18,0.0,0.0,0.0,0.0,0.0
31,1.0,8.8548104e-15,1.7611568e-14,-2.5596831e-18,6.0474294e-17,2.329516e-18,4.53888e-17,2.6129789e-17,1.7517897e-16,-6.0230792e-18,-1.1910706e-17,4.6972125e-18,-1.0875796e-16,9.7433644e-17,-6.6967637e-18,-3.0204394e-17,9.474661e-18,-1.0900725e-15,3.4992044e-18,-6.191053e-18,9.4618e-19,3.3024659e-18,-1.0475765e-18,-3.1526726e-18,5.4042592e-18,0.0,0.0,0.0,0.0,0.0
32,1.0,9.429059e-15,1.841854e-14,1.7047287e-18,4.6081444e-17,9.672042e-18,8.75585e-17,-2.3346897e-20,2.7358317e-16,-8.367822e-18,-4.7815976e-17,-1.1745896e-17,-1.0165478e-16,8.6259235e-17,-2.1760496e-18,-1.2498533e-17,1.5701456e-17,-1.1322278e-15,-3.2281354e-18,5.4665778e-18,3.730046e-18,-9.052767e-19,-4.6950242e-18,-4.334887e-18,2.2308658e-18,0.0,0.0,0.0,0.0,0.0
33,1.0,1.0043808e-14,1.9399985e-14,5.1393033e-18,3.087672e-17,-3.79894e-18,1.0118144e-16,-4.821949e-18,2.6297525e-16,2.0318083e-18,-6.313759e-17,-2.309187e-17,-1.07393593e-16,3.4345244e-17,9.154061e-18,-3.553913e-17,2.0068092e-17,-6.6260375e-16,1.2047351e-18,3.9617877e-18,-1.5430568e-17,-2.5798347e-18,1.1576308e-18,-2.2305186e-18,2.517592e-18,0.0,0.0,0.0,0.0,0.0
34,1.0,1.0422078e-14,2.0394178e-14,6.301384e-18,2.1280682e-17,-5.2447726e-18,3.9475203e-17,-1.5253306e-17,2.4574154e-16,1.2290463e-17,-2.3587368e-17,-8.538315e-18,-9.885391e-17,1.7175315e-16,-4.1159622e-18,4.8752685e-18,1.1091589e-17,-9.502246e-16,-1.8848412e-18,8.717853e-18,3.1517302e-18,8.514878e-18,1.4533398e-18,3.2602604e-18,-5.4639586e-19,0.0,0.0,0.0,0.0,0.0
35,1.0,1.074763e-14,2.1281018e-14,8.82881e-18,3.767554e-17,-1.533692e-19,4.2356455e-17,3.8403634e-18,3.7101777e-16,1.1539387e-17,-5.333237e-18,-2.6820388e-18,-7.54591e-17,1.3628992e-16,-2.2455174e-17,-2.4719157e-18,1.372303e-17,-6.249021e-16,-9.692342e-18,8.112383e-18,1.852529e-18,-4.3056157e-18,9.8076e-19,-1.8167984e-18,1.5484915e-18,0.0,0.0,0.0,0.0,0.0
36,1.0,1.1468444e-14,2.2294126e-14,7.558014e-19,3.767206e-17,-5.8200593e-18,9.640637e-17,1.00808336e-17,2.9519617e-16,-1.5292895e-17,-3.2268564e-17,1.8761977e-17,-2.680224e-17,9.807403e-17,3.7966837e-18,-6.2442384e-18,7.236967e-18,-1.2912882e-15,-9.97089e-19,-9.145763e-18,5.627953e-18,-8.093275e-19,2.8621695e-19,2.8743556e-18,3.1733475e-18,0.0,0.0,0.0,0.0,0.0
37,1.0,1.2258244e-14,2.3522112e-14,4.963314e-18,8.320532e-17,-3.4414868e-18,1.4127248e-16,1.6378327e-19,5.7883955e-16,3.3877767e-18,-1.6310202e-17,4.650988e-18,-1.0009269e-16,1.0212618e-16,-1.5620199e-17,-1.4845078e-17,-1.740981e-17,-1.724831e-15,4.776531e-18,3.839456e-18,2.429175e-18,1.2181594e-18,-3.131302e-18,1.6130928e-18,2.4343642e-18,0.0,0.0,0.0,0.0,0.0
38,1.0,1.3203604e-14,2.4436386e-14,4.8735174e-18,4.40842e-17,-4.366457e-18,1.2449948e-16,7.587915e-19,3.059236e-16,-5.46382e-18,-4.3208147e-17,7.9140075e-18,-7.066362e-17,5.3864104e-19,-2.0310722e-17,-1.8522175e-17,2.696807e-18,-1.2294608e-15,-2.8476789e-18,-1.0979051e-17,-3.873667e-18,1.9617618e-18,-1.9504534e-18,-1.5430945e-18,-2.8622142e-19,0.0,0.0,0.0,0.0,0.0
39,1.0,1.3894414e-14,2.5586504e-14,5.4623335e-18,6.7841946e-17,-2.186118e-18,7.813745e-17,1.1739177e-17,2.6852292e-16,-1.6630372e-17,3.6271413e-17,1.427926e-17,-8.61217e-17,1.5418056e-16,-9.477392e-18,-1.8750892e-17,2.4957157e-17,-1.0843159e-15,1.3869684e-18,3.6060575e-18,2.963897e-18,1.9210205e-18,8.243011e-19,8.914142e-19,7.4203824e-19,0.0,0.0,0.0,0.0,0.0
40,1.0,1.4703625e-14,2.6479581e-14,-3.3101804e-18,6.0581345e-17,1.1805991e-18,7.202949e-17,1.8248468e-19,2.856092e-16,-7.984749e-18,-1.9907645e-17,-5.587453e-18,-1.603306e-16,1.6502247e-16,-6.8102036e-18,-2.9773334e-17,2.6605584e-17,-1.4301293e-15,-5.245109e-19,-5.077185e-18,-1.2939641e-17,2.9366014e-18,8.4640196e-19,-2.8826332e-18,2.6043557e-19,0.0,0.0,0.0,0.0,0.0
41,1.0,1.54994e-14,2.7639247e-14,3.5593284e-18,5.295996e-17,-1.3891435e-17,9.050747e-17,1.6768799e-17,4.4553435e-16,-6.6137983e-18,-4.895828e-17,-1.408871e-17,-4.3212845e-17,4.5140728e-17,-4.6540356e-19,-2.0892453e-17,-9.9946215e-18,-1.0608684e-15,2.1116143e-18,-4.7971467e-18,1.8432006e-18,2.359161e-18,-4.6357704e-18,-1.0852014e-17,-4.211055e-19,0.0,0.0,0.0,0.0,0.0
42,1.0,1.6220532e-14,2.9208383e-14,2.9480421e-18,7.544373e-17,-7.441012e-18,5.796302e-17,-9.681236e-18,3.9632918e-16,1.5834216e-18,-3.2372772e-17,-1.7231726e-18,-3.5428526e-17,-8.684796e-18,-8.915047e-18,-1.9053566e-17,-5.9671676e-18,-1.4428182e-15,8.670835e-18,1.4216773e-17,3.543286e-18,2.9412402e-18,2.8036844e-18,6.5192844e-19,-3.5245406e-19,0.0,0.0,0.0,0.0,0.0
43,1.0,1.6953578e-14,3.044255e-14,5.1755128e-18,1.3323935e-16,3.1467042e-18,1.1845515e-16,2.0066361e-17,3.5498224e-16,-8.5089635e-19,-1.6509403e-17,6.303059e-18,-2.9510575e-17,8.957078e-17,1.8570645e-17,-1.7545219e-17,1.5354997e-18,-8.5878145e-16,4.1615428e-18,-6.2702383e-18,6.5830267e-18,8.299899e-18,5.1278345e-18,3.0595972e-18,3.527907e-18,0.0,0.0,0.0,0.0,0.0
44,1.0,1.7787522e-14,3.139899e-14,3.950145e-18,4.3250925e-17,2.7223527e-18,7.987042e-17,5.5974803e-18,5.3079484e-16,6.4164677e-18,-4.5118457e-17,-9.814397e-18,-5.8937744e-17,1.1952737e-16,-2.6039646e-17,-1.5320497e-17,9.70744e-18,-1.1703724e-15,1.5876314e-18,-2.9650953e-18,3.3345567e-18,9.733974e-19,1.6042186e-18,-3.1948582e-19,3.0466605e-19,0.0,0.0,0.0,0.0,0.0
45,1.0,1.8496923e-14,3.3329354e-14,1.2701523e-18,8.894939e-17,-4.1166088e-19,1.1184959e-16,2.5470342e-17,5.288969e-16,-6.48372e-18,-1.34156776e-17,1.1649723e-17,-1.3285303e-16,1.4239366e-16,2.6986175e-17,2.2687152e-17,-3.1281178e-17,-1.50925e-15,3.6880195e-18,-2.9945863e-18,-3.3962305e-18,1.3346803e-18,2.1215654e-18,-2.3600842e-18,-7.0395076e-19,0.0,0.0,0.0,0.0,0.0
46,1.0,1.9416756e-14,3.4664762e-14,3.4083427e-18,4.1549398e-19,-4.4182752e-18,1.1496925e-16,8.365266e-18,4.5509815e-16,-1.8285492e-17,-5.4680086e-17,6.0013e-18,-1.081222e-16,1.8272268e-16,-3.4440097e-18,-2.6620781e-17,3.14979e-17,-1.9655882e-15,3.3164903e-18,2.5631684e-18,-1.02512506e-19,-7.590803e-19,1.0027997e-19,-2.5948687e-18,4.6119533e-19,0.0,0.0,0.0,0.0,0.0
47,1.0,1.9985846e-14,3.6556736e-14,5.5405273e-18,-4.6509657e-18,-9.928493e-18,8.016625e-17,2.5003944e-17,6.164827e-16,6.2210058e-18,-2.3755218e-17,2.6746293e-17,-1.1398823e-16,9.711232e-17,-1.34377716e-17,2.6595162e-18,-5.245929e-18,-1.2818293e-15,5.5970556e-18,-1.330447e-17,-6.1033526e-18,-2.1978135e-19,-8.295509e-18,3.5735555e-18,3.0549716e-18,0.0,0.0,0.0,0.0,0.0
48,1.0,2.0726352e-14,3.795214e-14,4.9876592e-18,8.2760995e-17,-8.9024925e-18,1.4055397e-16,5.903756e-18,6.204314e-16,-5.5126707e-18,-1.6964515e-17,2.005893e-17,-7.0890576e-17,5.859915e-17,1.5369305e-17,4.112438e-17,2.16982e-17,-1.0518615e-15,-2.5657645e-18,-3.794857e-18,-1.318467e-18,-5.372989e-18,-3.409776e-18,-3.763822e-18,-2.6344511e-18,0.0,0.0,0.0,0.0,0.0
49,1.0,2.1542298e-14,3.9439816e-14,-2.3383023e-18,5.615011e-17,2.3266053e-18,1.5030451e-16,2.1597371e-18,5.7430644e-16,5.92341e-18,-2.1009299e-17,2.8860825e-17,-2.3843014e-16,1.8218634e-16,-1.2756e-17,-7.0435e-18,-5.3851067e-18,-1.6985321e-15,-1.0121288e-17,-8.189537e-18,-5.8344217e-18,-5.1153825e-18,-2.6355549e-19,-4.2050686e-18,2.8596066e-18,0.0,0.0,0.0,0.0,0.0
50,1.0,2.2421899e-14,4.0391054e-14,7.61727e-19,5.565959e-17,-1.5028695e-17,6.6985556e-17,2.2947466e-17,6.694515e-16,1.7678746e-18,-7.805074e-17,1.2347396e-17,-9.278058e-17,1.4756995e-16,-3.0314439e-18,-2.1997125e-17,1.9588115e-17,-1.8637855e-15,-1.5745375e-18,-1.6598932e-17,2.4513094e-18,-7.694768e-18,4.7754365e-18,-1.7054584e-18,3.4052927e-18,0.0,0.0,0.0,0.0,0.0
51,1.0,2.3635274e-14,4.158733e-14,-3.2989665e-18,1.175442e-16,4.3121877e-18,1.563263e-16,2.5999258e-17,5.1911394e-16,-8.9698084e-18,-3.936073e-17,-2.1276012e-17,-1.8966872e-16,2.0909682e-16,2.4333035e-17,-1.9408872e-17,1.3955078e-17,-1.6821559e-15,-1.0857446e-18,-5.0473005e-19,-1.7680886e-17,1.8863664e-18,-8.895004e-19,1.0469296e-17,3.7869077e-18,0.0,0.0,0.0,0.0,0.0
52,1.0,2.4302566e-14,4.3506235e-14,9.505519e-18,6.994206e-17,-1.0235099e-17,9.3937734e-17,4.0539692e-17,5.4158254e-16,-5.0820145e-18,-5.4679583e-17,-3.1806571e-18,1.2693596e-17,1.7043759e-16,-9.712147e-18,-3.8992523e-17,7.997884e-18,-2.0618982e-15,-4.360513e-18,-1.2833412e-17,-4.0196457e-18,3.0104808e-18,2.2060948e-18,2.913953e-18,2.2457069e-18,0.0,0.0,0.0,0.0,0.0
53,1.0,2.517962e-14,4.475404e-14,4.309848e-18,5.8561754e-17,-4.4149185e-18,6.822585e-17,4.037468e-17,7.746118e-16,-2.3721659e-17,-4.1738832e-17,1.5921907e-17,-7.107241e-17,1.1850324e-16,1.5721109e-17,1.4075496e-17,6.8370808e-18,-1.3156716e-15,2.3957224e-19,7.6986246e-18,8.263796e-18,-6.6214973e-18,4.669749e-18,1.5528717e-19,3.377462e-18,0.0,0.0,0.0,0.0,0.0
